Kohler,8,987654321,876543219,765432198,0,0,0
Cargill,3,120400987654,19264158025,15026043259,0,0,0
Koch Industries,3,100900654321,16158024691,12441679012,0,0,0
Albertsons,6,58700321654,9979054681,6685966636,0,0,0
Dell,1,54900987321,10431187591,6884583810,0,0,0
Pricewaterhouse Coopers,2,35400321654,5664051465,3738273967,0,0,0
Deloitte,2,35200698321,11264223463,6758534078,0,0,0
Mars,8,33000147852,12210054705,9401742123,0,0,0
Publix,6,32600963258,9454279345,5105310846,0,0,0
Bechtel,3,32300147896,6137028100,3743587141,0,0,0
Ernst&Young,2,28700456987,11480182795,9069344408,0,0,0
Reyes Holdings,2,25000369456,8000118226,4960073300,0,0,0
HEB,6,23000159632,6440044697,4958834417,0,0,0
Pilot,6,22900357951,3893060852,2024391643,0,0,0
Enterprise Holdings,8,19400368742,2910055311,1484128209,0,0,0
Cox Communications,1,18100852456,5611264261,4096222911,0,0,0
Meijer,6,16100987159,1610098716,885554293.7,0,0,0
Fidelity Investments,2,15900632478,3339132820,2637914928,0,0,0
Danner Boots,8,987654321,876543219,765432198,10000000000,0,8000000000
